Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Entomology Types,Insecta,Lepidoptera,Hesperiidae,"Ancyloxypha longleyi French, 1897",Type,French. 1897. Canadian Entomologist. 29: 80.,,Male,Pinned,,,United States,Illinois,Cook,Oak Park,,42.1189,-88.0181,,"Longley, W. E.",6 Sep 1896,1,"Reviewed, 2010.",,,,,,,,1/9/2014 17:43,http://n2t.net/ark:/65665/3dc10f940-0446-48ee-a348-82d70cc858b3
,,Inquire Types,Insecta,Hemiptera,Diaspididae,Andaspis mackieana,Type,,"Ponana (Neopana) avena Delong & Freytag, 1967",,Slide,,,United States,California,Los Angeles,West Los Angeles,,34.0464,-118.448,,Armacost; Royston; McKenzie; Meyers; Tower,"19 Aug 1942 to 20 Aug 1942 (19-VIII-1942; AUGUST 20, 1942)",1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,10/7/2015 20:16,http://n2t.net/ark:/65665/375cda68c-da03-40c0-a204-c991fa4909c7
,,Inquire Types,Insecta,Lepidoptera,Pyralidae,Anderida peorinella Blanchard & Knudson,Holotype,,,1 Male,,,,United States,Texas,Brewster,"Brewster Co., Texas; Big Bend Nat'l Park; K-Bar Res. Sta",,,,,"Knudson, E.",1 Apr 1984 (1.IV.84),1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,2/1/2022 21:41,http://n2t.net/ark:/65665/3139d4eb2-4e45-4141-8e1e-a13cc076b3d1
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Andranes angustus Casey, 1924",Type,Casey. Additions to the known Coleoptera of North America. Memoirs on the Coleoptera XI. 150.,,1 Adult,Pinned,,,United States,Missouri,[Not Stated],[not stated],,,,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:56,http://n2t.net/ark:/65665/363c6b3ef-7947-44fe-8a11-ac67df080a78
533623,533623,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Ancylandrena) heterodoxa Cockerell, 1930",Type,1930. Pan-Pacific Ent. 7: 6.,,1 Male,Pinned,,,United States,California,Riverside,Riverside,,33.9533,-117.396,,Timberlake,"25 Apr 1934 (APR. 25, 34)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:40,http://n2t.net/ark:/65665/3a88f5c5c-f7e3-43cb-b70d-76a72df768ca
533724,533724,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Andrena) scutellinitens Viereck, 1916",Type,1916. Proceedings of the Academy of Natural Sciences of Philadelphia. 68: 573.,,1 Female,Pinned,,,United States,California,[Not Stated],[Not Stated],,,,,Lorquin,,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:32,http://n2t.net/ark:/65665/35675921c-1a58-4586-a5d7-3afae0ffe352
532916,532916,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Bythandrena) acra Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 111, Figs. 18, 19, 21.",,1 Male,Pinned,,,United States,Michigan,Kalamazoo,Gull Lake Biological Station,,42.4056,-85.4008,,"Fisher, R. L.",9-Jun-56,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3b349016a-0aea-4cc5-a75d-9b3ecf95ff98
533733,533733,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Cnemidandrena) specularia Donovan, 1977",Holotype,"1977. University of California Publications in Entomology. 81: 41, Fig. 130, map 6.",,1 Female,Pinned,,,United States,North Dakota,Morton,Mandan,,46.8289,-100.891,,"Fattig, P. W.",9 May 1917 (9-5-17),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3a7c3a2a3-1017-4c51-a40f-f994e3a3447d
533741,533741,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Cnemidandrena) sulcata Donovan, 1977",Type,"1977. University of California Publications in Entomology. 81: 68, Figs. 95-99, 130, map. 12.",,1 Female,Pinned,,,United States,Washington,Adams,Ritzville,,47.1264,-118.377,,"Shannon, R. C.",9 Sep 1920 (9.9.20),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:50,http://n2t.net/ark:/65665/3669f2c63-4919-4935-892c-04c387c5a17c
533647,533647,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Dactylandrena) maura Viereck, 1924",Type,1924. Canadian Entomologist. 56: 31.,,1 Male,Pinned,,,United States,California,Santa Clara,[Not Stated],,37.2318,-121.695,,Baker,,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/314a7d9bd-327f-4d9d-bcbd-2df2cef5ee29
532977,532977,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Gonandrena) dreisbachi Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 230.",,1 Female,Pinned,,,United States,Michigan,Roscommon,[Not Stated],,44.4984,-84.592,,"Dreisbach, R. R.",5 Jun 1955 (6-5-55),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/310201380-3aa0-48bc-9ff7-ec3fc409f10a
533663,533663,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Gonandrena) monroensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 233.",,1 Female,Pinned,,,United States,Michigan,Monroe,[Not Stated],,41.9164,-83.3977,,"Dreisbach, R. R.",23 Jun 1940 (6-23-40),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/38ebd6d2a-15af-4fe0-9051-2d24206cc779
532955,532955,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Gymnandrena) carolinensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 123.",,1 Female,Pinned,,,United States,North Carolina,Wake,Raleigh,,35.7721,-78.6386,,"Mitchell, T. B.",8 Apr 1929 (IV-8-1929),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:52,http://n2t.net/ark:/65665/3c376b843-22a2-4a3e-b655-b325c40b1d58
533730,533730,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Gymnandrena) seviensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 132.",,1 Female,Pinned,,,United States,Tennessee,Sevier,Chilhowee Mountain,,35.7306,-83.82,,"Cole, A. C.","12 May 1951 (MAY 12, 1951)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:52,http://n2t.net/ark:/65665/3d82f32f0-a006-419b-8bb5-41a844b32a4b
532978,532978,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Hesperandrena) duboisi Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 390.,,1 Female,Pinned,,,United States,California,Yolo,Davis,,38.545,-121.741,,"Du Bois, J. J.","2 Aug 1937 (AUG 2, 1937)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/36be15b43-4171-421d-8059-45632d13e98b
533641,533641,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Hesperandrena) lativentris Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 388.,,1 Female,Pinned,,,United States,California,Tulare,Strathmore,,36.1455,-119.061,,Timberlake,"29 Mar 1937 (MAR 29, 37)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3908129b7-97d0-4a7b-9b33-ba5856fd24bf
533643,533643,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Hesperandrena) limnanthis Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 387.,,1 Female,Pinned,,,United States,California,Marin,San Geronimo,,38.0133,-122.664,,"Bridwell, J. C.","23 Apr 1913 (APR. 23, 1913)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3b4a6c474-f8f6-44ed-b18c-831ef1db5ec5
532944,532944,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Leucandrena) bifurcata Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 211, Figs. 40-42.",,1 Male,Pinned,,,United States,Michigan,Washtenaw,Ann Arbor,,42.2709,-83.7263,,"Lanham, U. N.",3 Apr 1949 (3 APR 49),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/354e17ddd-3ed8-4155-96fb-09a339875695
532961,532961,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Leucandrena) chippewaensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 212, Fig. 43.",,1 Female,Pinned,,,United States,Michigan,Chippewa,[Not Stated],,46.3282,-84.5294,,"Dreisbach, R. R.; Dreisbach, K.",3 Jun 1957 (6-3-57),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/34a0b2212-0030-4798-a8d1-27477a4894a8
,,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Leucandrena) patagiata Laberge, 1986",Holotype,Laberge. Transactions of the American Entomological Society. 112: 201-205.,,1 Adult Female,Pinned,,,United States,Arizona,Coconino,"Oak Creek Canyon, 8.2 miles north of Sedona",,34.965,-111.752,,"Johnson, C. D.",2-May-67,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,9/2/2009 14:20,http://n2t.net/ark:/65665/354c80968-18a0-4d9b-9ffa-5af5f489cf59
533710,533710,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Leucandrena) recta Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 217, Fig. 43.",,1 Female,Pinned,,,United States,North Carolina,Avery,Grandfather Mountain,,36.099,-81.8476,,"Mitchell, T. B.",21 Sep 1945 (SEP 21 1945),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3ec70aea9-fc2d-4c1a-a1bf-75f4832ecc7a
533620,533620,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Micrandrena) haroldi Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 398.,,1 Female,Pinned,,,United States,California,Santa Clara,Stanford University,,37.4241,-122.166,,"Morrison, H.","26 Mar 1915 (MARCH 26, 1915)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/30b94ab82-c390-4940-a6fc-a10e4e861292
533708,533708,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Micrandrena) radialis Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 395.,,1 Male,Pinned,,,United States,California,Riverside,Elsinore,,33.6615,-117.351,,Baker,,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3c760f0a4-a22b-4c2f-a578-910c4fd22491
533752,533752,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Mimandrena) verna Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 206, Figs. 37, 38.",,1 Male,Pinned,,,United States,North Carolina,Wake,Raleigh,,35.7721,-78.6386,,"Mitchell, T. B.","13 Mar 1945 (Mar 13, 1945)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/34d1413ee-40bd-424b-85c3-f3c9211e6116
532923,532923,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Oligandrena) angelesia Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 404.,,1 Female,Pinned,,,United States,California,Los Angeles,[Not Stated],,34.05,-118.25,,"Coquillett, D. W.",([Not Stated]),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/3ba1efaef-88a3-40fc-bb41-15b9679fc4ad
533631,533631,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Opandrena) cressonii ivanensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 249, Fig. 52.",,1 Male,Pinned,,,United States,North Carolina,Sampson,Ivanhoe,,34.6107,-78.2419,,"Mitchell, T. B.",5 Apr 1946 (APR. 5 1946),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3fd1b62a0-6f2e-437a-ab99-759d495c9080
533742,533742,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Opandrena) cressonii tallahasensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 249, Figs. 50, 53.",,1 Male,Pinned,,,United States,Florida,Leon,Tallahassee,,30.455,-84.2533,,"Bohart, R. M.; Bohart, G. E.",1-Apr-44,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/36278c91d-fc12-4035-bfe8-6a8ff897d62c
533670,533670,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Parandrena) nida Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 240, Figs. 49, 50, 52, 55.",,1 Male,Pinned,,,United States,North Carolina,Pender,Currie,,34.4627,-78.1011,,"Mitchell, T. B.","7 Apr 1951 (APR. 7, 1951)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3f52d2237-6fdf-454f-af9c-8c58fbdf672d
532932,532932,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) asteroides Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 140, Figs. 24, 25.",,1 Female,Pinned,,,United States,North Carolina,Wayne,The Cliffs State Park,,35.2386,-77.8844,,"Mitchell, T. B.","14 Oct 1955 (OCT 14, 1955)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/38782987c-3bf6-4f03-a819-ff2c59ba9a05
532948,532948,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) brassicae Mitchell, 1960",Type,"1982. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 142.",,1 Male,Pinned,,,United States,Florida,Pinellas,St. Petersburg,,27.7731,-82.64,,[Not Stated],(9 March),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3d3bf14c2-a359-4e46-bafc-48e8626d256c
532974,532974,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) dimorpha Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 143, Figs. 24-26, 28.",,1 Female,Pinned,,,United States,Florida,Orange,Orlando,,28.4158,-81.2989,,"Bohart, R. M.; Bohart, G. E.",Mar-44,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/318c69c0e-7948-41e0-8770-c3e4172ef339
532980,532980,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) duplicata Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 144, Figs. 24-26, 28.",,1 Female,Pinned,,,United States,North Carolina,McDowell,Marion,,35.6831,-82.0058,,[Not Stated],"29 Aug 1929 (AUG 29, '29)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/32fbfbd88-7c2b-4c8e-b2f3-e88c12bd815a
533630,533630,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) isocomae Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 378.,,1 Female,Pinned,,,United States,California,Riverside,Riverside,,33.9533,-117.396,,Timberlake,"13 Oct 1929 (OCT 13, 29)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3e2156882-0522-4ee6-9720-a44388910c31
533691,533691,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) placata Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 148, Figs. 24, 25.",,1 Male,Pinned,,,United States,Massachusetts,Norfolk,Needham,,42.2834,-71.2328,,"Mitchell, T. B.","3 Aug 1936 (AUG 3, 1936)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/38a950540-f004-4380-b192-67311eff5367
533693,533693,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Pterandrena) plumiscopa Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 376.,,1 Female,Pinned,,,United States,California,Riverside,Riverside,,33.9533,-117.396,,Timberlake,"6 Mar 1929 (MAR. 6, 29)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/3b79af262-acc8-4ae9-bd62-695949050deb
533681,533681,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Ptilandrena) parakrigiana Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 157.",,1 Male,Pinned,,,United States,Georgia,Taylor,Butler,,32.55,-84.23,,"Fattig, P. W.",27 Mar 1938 (3-27-38),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/36a98436b-40bf-4437-850e-419a8aae92e8
532970,532970,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Scoliandrena) cryptanthae Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 401.,,1 Female,Pinned,,,United States,California,San Bernardino,[Not Stated],,34.8416,-116.179,,[Not Stated],,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/31bf0697a-1e06-4a16-818d-9e6fb3758fbc
533607,533607,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Scrapteropsis) fenningeri Viereck, 1922",Type,"1922. Occasional Papers of the Boston Society of Natural History. 5: 42, Figs.",,1 Female,Pinned,,,United States,Virginia,Fairfax,Mount Vernon,,38.7353,-77.0953,,"Wetmore, A.","16 Apr 1916 (APR. 16, 1916)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/306ccee9b-662b-4746-a4d1-6abac9b8633a
533608,533608,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Scrapteropsis) flaminea Laberge, 1971",Type,"1971. Transactions of the American Entomological Society. 97: 472, Fig. 1.",,1 Female,Pinned,,,United States,Texas,,"Beeville, Texas",,,,,"Mitchell, J. D.",27 Apr 1906 (IV-27-1906),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/3fd7512ef-f763-4c9a-9bd3-afa15b3d0ae3
533677,533677,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Simandrena) opacella Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 406.,,1 Female,Pinned,,,United States,California,Santa Clara,Mount Hamilton River,,37.3419,-121.643,,"Bridwell, J. C.",26-Apr-13,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/33b936956-c0f1-47b7-b90e-474a76ea2cce
533748,533748,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Simandrena) uvulariae Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 245, Fig. 54.",,1 Female,Pinned,,,United States,Maryland,Prince George's,Beltsville,,39.0348,-76.9075,,"Jackson, L. O.",2-May-15,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3a4079e1e-f3c1-475b-a43d-ac934c908c4c
533753,533753,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Stenandrena) vexabilis Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 385.,,1 Female,Pinned,,,United States,California,San Francisco,San Francisco,,37.7775,-122.42,,"Bridwell, J. C.","13 Apr 1913 (APR. 13, 1913)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:52,http://n2t.net/ark:/65665/38fb0fd6d-b7f8-43b7-ac89-5d1296605545
532946,532946,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Thysandrena) blandula Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 410.,,1 Female,Pinned,,,United States,California,Santa Clara,Mount Hamilton River,,37.3419,-121.643,,"Bridwell, J. C.",26-Apr-13,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/377083ac0-7d46-4a93-afd3-657e6c6161e1
533690,533690,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Thysandrena) phaceliae Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 224, Figs. 44, 45.",,1 Female,Pinned,,,United States,Maryland,Montgomery,Plummers Island,,38.9694,-77.1764,,"Crawford, J. C.",([Not Stated]),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/3c510714b-af6e-4d41-81d0-b6a59be6491f
533739,533739,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Thysandrena) subdepressa Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 407.,,1 Female,Pinned,,,United States,California,Santa Clara,Stanford University,,37.4241,-122.166,,"Aldrich, J. M.",5-Mar-06,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3268864f8-cbf0-4cbd-9a53-784d941be0e0
532928,532928,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) arenakensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 177, Fig. 35.",,1 Female,Pinned,,,United States,Michigan,Arenac,[Not Stated],,44.0056,-83.858,,"Dreisbach, R. R.",30 May 1951 (V-30-51),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/334e50fb7-242c-46c3-9a96-07c2d53742bd
532934,532934,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) atlantica Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 178, Figs. 35-37.",,1 Female,Pinned,,,United States,North Carolina,Carteret,Morehead,,34.7229,-76.726,,"Mitchell, T. B.","8 May 1947 (MAY 8, 1947)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/3c50236b1-1864-4f8e-9066-5d089aaa79fe
532951,532951,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) californica Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 373.,,1 Female,Pinned,,,United States,California,San Bernardino,Mill Creek Canyon; San Bernardino Mountains,,34.0883,-117.039,,Timberlake,30 May 1938 (MAY 30 1938),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:41,http://n2t.net/ark:/65665/3653f4a32-dcd0-49db-a1d5-aeb907becec1
533761,533761,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) californica wickhami Timberlake, 1951",Type,1951. Proceedings of the United States National Museum. 101: 375.,,1 Female,Pinned,,,United States,California,Siskiyou,Dunsmuir,,41.2082,-122.272,,Wickham,,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:36,http://n2t.net/ark:/65665/3df4f5c4a-b59b-45e4-a688-e9e38b5dd8b2
532967,532967,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) compacta Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 181.",,1 Male,Pinned,,,United States,Michigan,Roscommon,[Not Stated],,44.4984,-84.592,,"Dreisbach, R. R.; Dreisbach, K.",26 May 1957 (5-26-57),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/34fb550d2-1fc5-4a6e-bbef-5109cdd011f3
533626,533626,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) ilicis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 186, Fig. 35.",,1 Female,Pinned,,,United States,North Carolina,Sampson,Ivanhoe,,34.6107,-78.2419,,"Mitchell, T. B.","12 Apr 1945 (APR 12, 1945)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/34f4bc594-8242-4866-a9df-405c3715fce6
533651,533651,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) mendica Mitchell, 1960",Type,,,,,,,United States,North Carolina,Wake,[Not Stated],,35.789,-78.67,,"Mitchell, T. B.","12 Jun 1957 (JUNE 12, 1957)",1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,4/19/2013 14:34,http://n2t.net/ark:/65665/3db0f4b2a-a966-4410-bdaf-2c2e0d8e5de4
533664,533664,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) montensis Mitchell, 1960",Type,"1960. North Carolina Agricultural Experiment Station, Technical Bulletin. 141: 191, Fig. 35.",,1 Female,Pinned,,,United States,North Carolina,Avery,Grandfather Mountain,,36.099,-81.8476,,"Mitchell, T. B.",24-Jun-54,1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:51,http://n2t.net/ark:/65665/347cce34f-7946-4569-9c75-061f99567dec
533701,533701,Entomology Types,Insecta,Hymenoptera,Andrenidae,"Andrena (Trachandrena) profundiformis Viereck & Cockerell, 1914",Type,1914. Proceedings of the United States National Museum. 48: 8.,,1 Male,Pinned,,,United States,Colorado,,Fort Collins,,40.5853,-105.084,,[Not Stated],5 Oct 1901 (5-X-01),1,"Reviewed, Nov 2008, Natapot Warrit.",,,,,,,,1/7/2014 17:32,http://n2t.net/ark:/65665/39b07c254-d41f-4f53-8163-f24fa6a58144
