Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium angustum Casey, 1897",Type,Casey. 1897. Annals of the New York Academy of Sciences. 9: 559.,,1 Adult Female,Pinned,,,United States,Pennsylvania,Westmoreland,St. Vincent,,40.2913,-79.4055,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:44,http://n2t.net/ark:/65665/38b1a7150-be67-448f-8d43-cbace397e4e2
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium bicolor Casey, 1908",Type,Casey. 1908. Canadian Entomologist. 40: 269.,,1 Adult,Pinned,,,United States,New Mexico,Otero,Cloudcroft,2743,32.9547,-105.741,,"Kraus, W.",,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:56,http://n2t.net/ark:/65665/342ef6af3-11f0-4360-b2a4-0fb9c9b792f8
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium blandum Casey, 1908",Type,Casey. 1908. Canadian Entomologist. 40: 271.,,1 Adult Male,Pinned,,,United States,Pennsylvania,Westmoreland,St. Vincent,,40.2913,-79.4055,,[Not Stated],(3.17.97),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:08,http://n2t.net/ark:/65665/371ac33c6-0f35-476c-b821-e80ee51df417
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium brevipenne Casey, 1893",,,,,,,,United States,California,[Not Stated],Santa Cruz Mountains,,37.1138,-121.953,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,3/4/2011 14:29,http://n2t.net/ark:/65665/3b9b34b85-5926-4430-8bcd-728bbed8bedb
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium brevipenne Casey, 1893",Type,Casey. 1893. Annals of the New York Academy of Sciences. 7: 467.,,1 Adult Male,Pinned,,,United States,California,[Not Stated],Santa Cruz Mountains,,37.1138,-121.953,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:44,http://n2t.net/ark:/65665/3413919ad-c303-445c-bedb-5e66fad243ab
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium candidum Casey, 1893",Type,Casey. 1893. Annals of the New York Academy of Sciences. 7: 465.,,1 Adult Male,Pinned,,,United States,California,[Not Stated],Santa Cruz Mountains,,37.1138,-121.953,,[Not Stated],([Not Stated]),1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 19:08,http://n2t.net/ark:/65665/36a9fb501-910d-4177-a9b7-7288fe221bd1
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium marinicum Casey, 1893",Type,Casey. 1893. Annals of the New York Academy of Sciences. 7: 465.,,1 Adult Male,Pinned,,,United States,California,Marin,[Not Stated],,38.0735,-122.723,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:56,http://n2t.net/ark:/65665/39d5ff6e4-67c2-429f-9edb-703a9d2851b7
,,Entomology Types,Insecta,Coleoptera,Pselaphidae,"Actium pacificum Casey, 1893",Type,Casey. 1893. Annals of the New York Academy of Sciences. 7: 466.,,1 Adult Male,Pinned,,,United States,California,Siskiyou,[Not Stated],,41.5927,-122.541,,[Not Stated],,1,"Data submitted by specialist, Sep 2012.",,,,,,,,1/9/2014 15:56,http://n2t.net/ark:/65665/37ef328fb-7812-4822-8c9a-2133c3324d7d
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",,,,,,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:35,http://n2t.net/ark:/65665/3a373d999-85c0-48c3-9ae3-994ccfecf5c9
,,Inquire Types,Insecta,Coleoptera,Pselaphidae,"Actium pallidum Casey, 1887",,,,,,,,United States,California,Monterey,Paraiso Hot Springs,,36.3312,-121.369,,[Not Stated],,1,"Unreviewed, Aug 2009, legacy data of uncertain quality.",,,,,,,,9/2/2009 12:49,http://n2t.net/ark:/65665/306a0cfdd-7af9-4bbd-baef-1d1f8ac5f674
